"s","a","r","sp"
24722,1,-225,24221
24221,7,-225,24221
24221,4,0,24220
24220,3,-25,23719
23719,1,-225,23218
23218,7,-225,23217
23217,7,-225,23716
23716,1,-225,23215
23215,4,0,23214
23214,5,-25,23212
23212,5,-25,23211
23211,3,-25,23210
23210,3,-25,22708
22708,7,-225,23207
23207,1,-225,22706
22706,2,-100,22204
22204,2,-100,22202
22202,3,-25,21700
21700,5,-25,22198
22198,3,-25,22196
22196,6,-100,22694
22694,2,-100,22192
22192,2,-100,22190
22190,1,-225,21688
21688,4,0,22186
22186,7,-225,22685
22685,1,-225,22683
22683,5,-25,22682
22682,4,0,23181
23181,1,-225,23179
23179,1,-225,23178
23178,3,-25,23177
23177,6,-100,23676
23676,4,0,24176
24176,1,-225,24175
24175,1,-225,24174
24174,1,-225,24174
24174,6,-100,24674
24674,2,-100,24674
24674,2,-100,24674
24674,7,-225,25674
25674,1,-225,25674
25674,3,-25,25675
25675,4,0,26176
26176,5,-25,26677
26677,4,0,26678
26678,3,-25,26679
26679,4,0,27181
27181,7,-225,27683
27683,1,-225,27684
27684,7,-225,28187
28187,3,-25,28189
28189,3,-25,28191
28191,5,-25,28694
28694,7,-225,29196
29196,4,0,29199
29199,2,-100,28702
28702,7,-225,29205
29205,5,-25,29208
29208,6,-100,29711
29711,5,-25,29714
29714,5,-25,29718
29718,7,-225,30221
30221,3,-25,29724
29724,1,-225,29227
29227,4,0,28730
28730,7,-225,28733
28733,6,-100,28735
28735,5,-25,28738
28738,4,0,28240
28240,6,-100,28243
28243,5,-25,28245
28245,6,-100,28247
28247,7,-225,27749
27749,6,-100,27751
27751,5,-25,27252
27252,7,-225,27254
27254,4,0,26755
26755,5,-25,26256
26256,6,-100,26257
26257,4,0,25757
25757,3,-25,24757
24757,5,-25,24757
24757,1,-225,23756
23756,7,-225,23755
23755,7,-225,23254
23254,6,-100,23253
23253,2,-100,22251
22251,6,-100,22249
22249,7,-225,21747
21747,1,-225,21244
21244,4,0,20741
20741,6,-100,20739
20739,3,-25,20235
20235,2,-100,19732
19732,3,-25,19228
19228,3,-25,18723
18723,5,-25,18719
18719,4,0,18714
18714,1,-225,18210
18210,6,-100,18205
18205,4,0,18201
18201,4,0,18196
18196,5,-25,18692
18692,7,-225,19188
19188,3,-25,19184
19184,1,-225,19180
19180,2,-100,19176
19176,5,-25,19172
19172,1,-225,19668
19668,7,-225,20165
20165,6,-100,20662
20662,3,-25,21159
21159,1,-225,21157
21157,3,-25,21655
21655,2,-100,21653
21653,4,0,22151
22151,5,-25,23150
23150,5,-25,23649
23649,6,-100,24649
24649,7,-225,25649
25649,1,-225,25650
25650,6,-100,26651
26651,3,-25,27153
27153,4,0,27655
27655,7,-225,28657
28657,6,-100,29160
