"s","a","r","sp"
46,2,0,36
36,3,0,46
46,3,0,56
56,3,0,66
66,1,0,65
65,2,0,66
66,2,0,67
67,2,0,68
68,3,0,78
78,1,10,77
77,3,0,87
87,3,0,77
77,1,0,76
76,2,0,77
77,1,0,76
76,1,0,75
75,4,0,74
74,1,0,73
73,4,0,74
74,4,0,64
64,3,0,74
74,4,0,64
64,4,0,54
54,1,0,64
64,3,0,65
65,3,0,64
64,1,0,63
63,1,0,62
62,3,0,72
72,4,0,62
62,1,0,61
61,2,0,62
62,4,0,63
63,3,0,73
73,4,0,63
63,1,0,73
73,3,0,83
83,1,0,82
82,1,0,92
92,3,0,92
92,4,0,82
82,3,0,83
83,2,0,84
84,1,0,74
74,2,0,75
75,1,0,76
76,2,0,77
77,4,0,67
67,3,0,68
68,1,0,67
67,1,0,66
66,1,0,65
65,3,0,66
66,4,0,56
56,4,0,46
46,4,0,36
36,2,0,37
37,1,0,36
36,2,0,35
35,1,0,34
34,3,0,33
33,1,0,32
32,1,0,33
33,3,0,43
43,2,0,42
42,4,0,32
32,3,0,42
42,2,0,32
32,4,0,22
22,2,0,32
32,3,0,42
42,1,0,41
41,1,0,41
41,1,0,41
41,1,0,41
41,3,0,31
31,4,0,41
41,3,0,51
51,1,0,51
51,3,0,61
61,2,0,62
62,1,0,61
61,1,0,61
61,4,0,51
51,3,0,52
52,4,0,42
42,4,0,32
32,1,0,31
31,1,0,31
31,2,0,32
32,3,0,42
42,1,0,41
41,1,0,41
41,4,0,51
51,2,0,52
52,4,0,42
42,1,0,41
41,1,0,41
41,4,0,42
42,2,0,43
33,3,0,34
34,1,0,35
35,3,0,34
34,3,0,44
44,4,0,45
45,3,0,55
55,3,0,65
65,3,0,75
75,4,0,74
74,2,0,73
73,2,0,83
83,4,0,73
73,1,0,72
72,2,0,73
73,3,0,83
83,1,0,82
82,4,0,72
72,4,0,62
62,2,0,63
63,2,0,53
53,1,0,54
54,1,0,53
53,4,0,43
43,2,0,44
44,4,0,34
34,4,0,24
24,2,0,25
25,2,0,26
26,1,0,25
25,4,0,35
35,4,0,45
45,4,0,35
35,2,0,36
36,2,0,46
46,2,0,47
47,3,0,48
48,3,0,58
58,4,0,57
57,3,0,67
67,2,0,57
57,3,0,67
67,1,0,66
66,2,0,67
67,2,0,68
68,3,0,78
78,4,10,68
68,1,0,78
78,1,10,77
77,4,0,67
67,2,0,68
68,4,0,58
58,4,0,48
48,2,0,49
49,4,0,39
39,1,0,38
38,4,0,28
28,1,0,27
27,1,0,17
17,2,0,7
7,1,0,6
6,2,0,7
7,3,0,17
17,2,0,18
18,4,0,8
8,1,0,9
9,4,0,9
9,3,0,19
19,2,0,18
18,2,0,19
19,3,0,29
29,2,0,19
19,1,0,18
18,3,0,28
28,1,0,27
27,4,0,17
17,3,0,27
